"Date","Case_Status","Cases_Count"
"2020-05-11","Deceased",21
"2020-05-11","Recovered",1386
"2020-05-12","Active",78
"2020-05-12","Deceased",21
"2020-05-12","Recovered",1398
"2020-05-13","Active",74
"2020-05-13","Deceased",21
"2020-05-13","Recovered",1402
"2020-05-14","Active",65
"2020-05-14","Deceased",21
"2020-05-14","Recovered",1411
"2020-05-15","Active",56
"2020-05-15","Deceased",21
"2020-05-15","Recovered",1421
"2020-05-16","Active",49
"2020-05-16","Deceased",21
"2020-05-16","Recovered",1428
"2020-05-17","Active",45
"2020-05-17","Deceased",21
"2020-05-17","Recovered",1433
"2020-05-18","Active",45
"2020-05-18","Deceased",21
"2020-05-18","Recovered",1433
"2020-05-19","Active",40
"2020-05-19","Deceased",21
"2020-05-19","Recovered",1442
"2020-05-20","Active",35
"2020-05-20","Deceased",21
"2020-05-20","Recovered",1447
"2020-05-21","Active",30
"2020-05-21","Deceased",21
"2020-05-21","Recovered",1452
"2020-05-22","Active",28
"2020-05-22","Deceased",21
"2020-05-22","Recovered",1455
"2020-05-23","Active",28
"2020-05-23","Deceased",21
"2020-05-23","Recovered",1455
"2020-05-24","Active",27
"2020-05-24","Deceased",21
"2020-05-24","Recovered",1456
"2020-05-25","Active",27
"2020-05-25","Deceased",21
"2020-05-25","Recovered",1456
"2020-05-26","Active",22
"2020-05-26","Deceased",21
"2020-05-26","Recovered",1461
"2020-05-27","Active",21
"2020-05-27","Deceased",21
"2020-05-27","Recovered",1462
"2020-05-28","Active",8
"2020-05-28","Deceased",22
"2020-05-28","Recovered",1474
"2020-05-29","Active",1
"2020-05-29","Deceased",22
"2020-05-29","Recovered",1481
"2020-05-30","Active",1
"2020-05-30","Deceased",22
"2020-05-30","Recovered",1481
"2020-05-31","Active",1
"2020-05-31","Deceased",22
"2020-05-31","Recovered",1481
"2020-06-01","Active",1
"2020-06-01","Deceased",22
"2020-06-01","Recovered",1481
"2020-06-02","Active",1
"2020-06-02","Deceased",22
"2020-06-02","Recovered",1481
"2020-06-03","Active",1
"2020-06-03","Deceased",22
"2020-06-03","Recovered",1481
"2020-06-04","Active",1
"2020-06-04","Deceased",22
"2020-06-04","Recovered",1481
"2020-06-05","Active",1
"2020-06-05","Deceased",22
"2020-06-05","Recovered",1481
"2020-06-06","Active",1
"2020-06-06","Deceased",22
"2020-06-06","Recovered",1481
"2020-06-07","Active",1
"2020-06-07","Deceased",22
"2020-06-07","Recovered",1481
"2020-06-08","Active",0
"2020-06-08","Deceased",22
"2020-06-08","Recovered",1482
"2020-06-09","Active",0
"2020-06-09","Deceased",22
"2020-06-09","Recovered",1482
"2020-06-10","Active",0
"2020-06-10","Deceased",22
"2020-06-10","Recovered",1482
"2020-06-11","Active",0
"2020-06-11","Deceased",22
"2020-06-11","Recovered",1482
"2020-06-12","Active",0
"2020-06-12","Deceased",22
"2020-06-12","Recovered",1482
"2020-06-13","Active",0
"2020-06-13","Deceased",22
