"Location","Report_date","Cases"
"Northland","2020-07-18",0
"Northland","2020-07-17",0
"Northland","2020-07-16",0
"Northland","2020-07-15",0
"Northland","2020-07-14",0
"Northland","2020-07-13",0
"Northland","2020-07-12",0
"Northland","2020-07-11",0
"Northland","2020-07-10",0
"Northland","2020-07-09",0
"Northland","2020-07-08",0
"Northland","2020-07-07",0
"Northland","2020-07-06",0
"Northland","2020-07-05",0
"Northland","2020-07-04",0
"Northland","2020-07-03",0
"Northland","2020-07-02",0
"Northland","2020-07-01",0
"Northland","2020-06-30",0
"Northland","2020-06-29",0
"Northland","2020-06-28",0
"Northland","2020-06-27",0
"Northland","2020-06-26",0
"Northland","2020-06-25",0
"Northland","2020-06-24",0
"Northland","2020-06-23",0
"Northland","2020-06-22",0
"Northland","2020-06-21",0
"Northland","2020-06-20",0
"Northland","2020-06-19",0
"Northland","2020-06-18",0
"Northland","2020-06-17",0
"Northland","2020-06-16",0
"Northland","2020-06-15",0
"Northland","2020-06-14",0
"Northland","2020-06-13",0
"Northland","2020-06-12",0
"Northland","2020-06-11",0
"Northland","2020-06-10",0
"Northland","2020-06-09",0
"Northland","2020-06-08",0
"Northland","2020-06-07",0
"Northland","2020-06-06",0
"Northland","2020-06-05",0
"Northland","2020-06-04",0
"Northland","2020-06-03",0
"Northland","2020-06-02",0
"Northland","2020-06-01",0
"Northland","2020-05-31",0
"Northland","2020-05-30",0
"Northland","2020-05-29",0
"Northland","2020-05-28",0
"Northland","2020-05-27",0
"Northland","2020-05-26",0
"Northland","2020-05-25",0
"Northland","2020-05-24",0
"Northland","2020-05-23",0
"Northland","2020-05-22",0
"Northland","2020-05-21",0
"Northland","2020-05-20",0
"Northland","2020-05-19",0
"Northland","2020-05-18",0
"Northland","2020-05-17",0
"Northland","2020-05-16",0
"Northland","2020-05-15",0
"Northland","2020-05-14",0
"Northland","2020-05-13",0
"Northland","2020-05-12",0
"Northland","2020-05-11",0
"Northland","2020-05-10",0
"Northland","2020-05-09",0
"Northland","2020-05-08",0
"Northland","2020-05-07",0
"Northland","2020-05-06",0
"Northland","2020-05-05",0
"Northland","2020-05-04",0
"Northland","2020-05-03",0
"Northland","2020-05-02",0
"Northland","2020-05-01",0
"Northland","2020-04-30",0
"Northland","2020-04-29",0
"Northland","2020-04-28",0
"Northland","2020-04-27",0
"Northland","2020-04-26",0
"Northland","2020-04-25",0
"Northland","2020-04-24",0
"Northland","2020-04-23",0
"Northland","2020-04-22",0
"Northland","2020-04-21",0
"Northland","2020-04-20",0
"Northland","2020-04-19",0
"Northland","2020-04-18",0
"Northland","2020-04-17",0
"Northland","2020-04-16",1
"Northland","2020-04-15",0
"Northland","2020-04-14",0
"Northland","2020-04-13",1
"Northland","2020-04-12",0
"Northland","2020-04-11",1
"Northland","2020-04-10",1
"Northland","2020-04-09",1
"Northland","2020-04-08",0
"Northland","2020-04-07",2
"Northland","2020-04-06",1
"Northland","2020-04-05",2
"Northland","2020-04-04",1
"Northland","2020-04-03",2
"Northland","2020-04-02",1
"Northland","2020-04-01",1
"Northland","2020-03-31",1
"Northland","2020-03-30",0
"Northland","2020-03-29",0
"Northland","2020-03-28",0
"Northland","2020-03-27",0
"Northland","2020-03-26",0
"Northland","2020-03-25",0
"Northland","2020-03-24",0
"Northland","2020-03-23",0
"Northland","2020-03-22",0
"Northland","2020-03-21",0
"Northland","2020-03-20",0
"Northland","2020-03-19",0
"Northland","2020-03-18",0
"Northland","2020-03-17",0
"Northland","2020-03-16",0
"Northland","2020-03-15",0
"Northland","2020-03-14",0
"Northland","2020-03-13",0
"Northland","2020-03-12",0
"Northland","2020-03-11",0
"Northland","2020-03-10",0
"Northland","2020-03-09",0
"Northland","2020-03-08",0
"Northland","2020-03-07",0
"Northland","2020-03-06",0
"Northland","2020-03-05",0
"Northland","2020-03-04",0
"Northland","2020-03-03",0
"Northland","2020-03-02",0
"Northland","2020-03-01",0
"Northland","2020-02-29",0
"Northland","2020-02-28",0
"Northland","2020-02-27",0
"Northland","2020-02-26",0
"Waitemata","2023-01-13",238
"Waitemata","2023-01-12",341
"Waitemata","2023-01-11",376
"Waitemata","2023-01-10",403
"Waitemata","2023-01-09",433
"Waitemata","2023-01-08",268
"Waitemata","2023-01-07",310
"Waitemata","2023-01-06",384
"Waitemata","2023-01-05",416
"Waitemata","2023-01-04",434
"Waitemata","2023-01-03",354
"Waitemata","2023-01-02",294
"Waitemata","2023-01-01",218
"Waitemata","2022-12-31",278
"Waitemata","2022-12-30",377
"Waitemata","2022-12-29",451
"Waitemata","2022-12-28",476
"Waitemata","2022-12-27",422
"Waitemata","2022-12-26",366
"Waitemata","2022-12-25",255
"Waitemata","2022-12-24",390
"Waitemata","2022-12-23",506
"Waitemata","2022-12-22",750
"Waitemata","2022-12-21",725
"Waitemata","2022-12-20",886
"Waitemata","2022-12-19",891
"Waitemata","2022-12-18",504
"Waitemata","2022-12-17",548
"Waitemata","2022-12-16",835
"Waitemata","2022-12-15",905
"Waitemata","2022-12-14",930
"Waitemata","2022-12-13",1096
"Waitemata","2022-12-12",1110
"Waitemata","2022-12-11",641
"Waitemata","2022-12-10",538
"Waitemata","2022-12-09",710
"Waitemata","2022-12-08",780
"Waitemata","2022-12-07",783
"Waitemata","2022-12-06",935
"Waitemata","2022-12-05",954
"Waitemata","2022-12-04",573
"Waitemata","2022-12-03",473
"Waitemata","2022-12-02",628
"Waitemata","2022-12-01",692
"Waitemata","2022-11-30",796
"Waitemata","2022-11-29",855
"Waitemata","2022-11-28",893
"Waitemata","2022-11-27",486
"Waitemata","2022-11-26",398
"Waitemata","2022-11-25",496
"Waitemata","2022-11-24",607
"Waitemata","2022-11-23",664
"Waitemata","2022-11-22",641
"Waitemata","2022-11-21",737
"Waitemata","2022-11-20",379
"Waitemata","2022-11-19",349
"Waitemata","2022-11-18",649
"Waitemata","2022-11-17",364
"Waitemata","2022-11-16",525
"Waitemata","2022-11-15",523
"Waitemata","2022-11-14",559
"Waitemata","2022-11-13",355
"Waitemata","2022-11-12",300
"Waitemata","2022-11-11",421
"Waitemata","2022-11-10",478
"Waitemata","2022-11-09",437
"Waitemata","2022-11-08",512
"Waitemata","2022-11-07",554
"Waitemata","2022-11-06",310
"Waitemata","2022-11-05",281
"Waitemata","2022-11-04",362
"Waitemata","2022-11-03",459
"Waitemata","2022-11-02",465
"Waitemata","2022-11-01",476
"Waitemata","2022-10-31",512
"Waitemata","2022-10-30",324
"Waitemata","2022-10-29",284
"Waitemata","2022-10-28",426
"Waitemata","2022-10-27",424
"Waitemata","2022-10-26",470
"Waitemata","2022-10-25",533
"Waitemata","2022-10-24",303
"Waitemata","2022-10-23",218
"Waitemata","2022-10-22",212
"Waitemata","2022-10-21",279
"Waitemata","2022-10-20",323
"Waitemata","2022-10-19",373
"Waitemata","2022-10-18",366
"Waitemata","2022-10-17",377
"Waitemata","2022-10-16",257
"Waitemata","2022-10-15",212
"Waitemata","2022-10-14",271
"Waitemata","2022-10-13",320
"Waitemata","2022-10-12",375
"Waitemata","2022-10-11",307
"Waitemata","2022-10-10",334
"Waitemata","2022-10-09",181
"Waitemata","2022-10-08",163
"Waitemata","2022-10-07",220
"Waitemata","2022-10-06",285
"Waitemata","2022-10-05",264
"Waitemata","2022-10-04",281
"Waitemata","2022-10-03",253
"Waitemata","2022-10-02",175
"Waitemata","2022-10-01",138
"Waitemata","2022-09-30",219
"Waitemata","2022-09-29",261
"Waitemata","2022-09-28",255
"Waitemata","2022-09-27",273
"Waitemata","2022-09-26",181
"Waitemata","2022-09-25",149
"Waitemata","2022-09-24",135
"Waitemata","2022-09-23",163
"Waitemata","2022-09-22",258
"Waitemata","2022-09-21",257
"Waitemata","2022-09-20",234
"Waitemata","2022-09-19",251
"Waitemata","2022-09-18",158
"Waitemata","2022-09-17",116
"Waitemata","2022-09-16",161
"Waitemata","2022-09-15",228
"Waitemata","2022-09-14",238
"Waitemata","2022-09-13",260
"Waitemata","2022-09-12",312
"Waitemata","2022-09-11",169
"Waitemata","2022-09-10",146
"Waitemata","2022-09-09",214
"Waitemata","2022-09-08",238
"Waitemata","2022-09-07",278
"Waitemata","2022-09-06",274
"Waitemata","2022-09-05",364
"Waitemata","2022-09-04",189
"Waitemata","2022-09-03",169
"Waitemata","2022-09-02",262
"Waitemata","2022-09-01",264
"Waitemata","2022-08-31",353
"Waitemata","2022-08-30",346
"Waitemata","2022-08-29",336
"Waitemata","2022-08-28",244
"Waitemata","2022-08-27",234
"Waitemata","2022-08-26",323
"Waitemata","2022-08-25",343
"Waitemata","2022-08-24",443
"Waitemata","2022-08-23",482
"Waitemata","2022-08-22",588
"Waitemata","2022-08-21",410
"Waitemata","2022-08-20",313
"Waitemata","2022-08-19",515
"Waitemata","2022-08-18",594
"Waitemata","2022-08-17",660
"Waitemata","2022-08-16",650
"Waitemata","2022-08-15",731
"Waitemata","2022-08-14",489
"Waitemata","2022-08-13",455
"Waitemata","2022-08-12",504
"Waitemata","2022-08-11",623
"Waitemata","2022-08-10",679
"Waitemata","2022-08-09",715
"Waitemata","2022-08-08",837
"Waitemata","2022-08-07",540
"Waitemata","2022-08-06",459
"Waitemata","2022-08-05",604
"Waitemata","2022-08-04",647
"Waitemata","2022-08-03",763
"Waitemata","2022-08-02",792
"Waitemata","2022-08-01",899
"Waitemata","2022-07-31",689
"Waitemata","2022-07-30",576
"Waitemata","2022-07-29",753
"Waitemata","2022-07-28",874
"Waitemata","2022-07-27",963
"Waitemata","2022-07-26",1059
"Waitemata","2022-07-25",1051
"Waitemata","2022-07-24",778
"Waitemata","2022-07-23",676
"Waitemata","2022-07-22",914
"Waitemata","2022-07-21",996
"Waitemata","2022-07-20",1121
"Waitemata","2022-07-19",1138
"Waitemata","2022-07-18",1210
"Waitemata","2022-07-17",843
"Waitemata","2022-07-16",760
"Waitemata","2022-07-15",1074
"Waitemata","2022-07-14",1332
"Waitemata","2022-07-13",1406
"Waitemata","2022-07-12",1511
"Waitemata","2022-07-11",1503
"Waitemata","2022-07-10",1106
"Waitemata","2022-07-09",1067
"Waitemata","2022-07-08",1388
"Waitemata","2022-07-07",1317
"Waitemata","2022-07-06",1429
"Waitemata","2022-07-05",1332
"Waitemata","2022-07-04",1269
"Waitemata","2022-07-03",863
"Waitemata","2022-07-02",726
"Waitemata","2022-07-01",899
"Waitemata","2022-06-30",964
"Waitemata","2022-06-29",1018
"Waitemata","2022-06-28",1071
"Waitemata","2022-06-27",1114
"Waitemata","2022-06-26",789
"Waitemata","2022-06-25",670
"Waitemata","2022-06-24",488
"Waitemata","2022-06-23",641
"Waitemata","2022-06-22",728
"Waitemata","2022-06-21",721
"Waitemata","2022-06-20",679
"Waitemata","2022-06-19",560
"Waitemata","2022-06-18",433
"Waitemata","2022-06-17",570
"Waitemata","2022-06-16",624
"Waitemata","2022-06-15",669
"Waitemata","2022-06-14",710
"Waitemata","2022-06-13",835
"Waitemata","2022-06-12",599
"Waitemata","2022-06-11",543
"Waitemata","2022-06-10",655
"Waitemata","2022-06-09",783
"Waitemata","2022-06-08",1019
"Waitemata","2022-06-07",883
"Waitemata","2022-06-06",780
"Waitemata","2022-06-05",597
"Waitemata","2022-06-04",589
"Waitemata","2022-06-03",786
"Waitemata","2022-06-02",795
"Waitemata","2022-06-01",1089
"Waitemata","2022-05-31",1086
"Waitemata","2022-05-30",1206
"Waitemata","2022-05-29",864
"Waitemata","2022-05-28",742
"Waitemata","2022-05-27",867
"Waitemata","2022-05-26",1041
"Waitemata","2022-05-25",1155
"Waitemata","2022-05-24",1072
"Waitemata","2022-05-23",1177
"Waitemata","2022-05-22",875
"Waitemata","2022-05-21",725
"Waitemata","2022-05-20",959
"Waitemata","2022-05-19",1105
"Waitemata","2022-05-18",1330
"Waitemata","2022-05-17",1328
"Waitemata","2022-05-16",1474
"Waitemata","2022-05-15",1042
"Waitemata","2022-05-14",824
"Waitemata","2022-05-13",974
"Waitemata","2022-05-12",1045
"Waitemata","2022-05-11",1326
"Waitemata","2022-05-10",1034
"Waitemata","2022-05-09",1133
"Waitemata","2022-05-08",827
"Waitemata","2022-05-07",775
"Waitemata","2022-05-06",864
"Waitemata","2022-05-05",971
"Waitemata","2022-05-04",1099
"Waitemata","2022-05-03",1051
"Waitemata","2022-05-02",1114
"Waitemata","2022-05-01",792
"Waitemata","2022-04-30",709
"Waitemata","2022-04-29",780
"Waitemata","2022-04-28",989
"Waitemata","2022-04-27",974
"Waitemata","2022-04-26",963
"Waitemata","2022-04-25",665
"Waitemata","2022-04-24",593
"Waitemata","2022-04-23",540
"Waitemata","2022-04-22",780
"Waitemata","2022-04-21",855
"Waitemata","2022-04-20",896
"Waitemata","2022-04-19",955
"Waitemata","2022-04-18",719
"Waitemata","2022-04-17",531
"Waitemata","2022-04-16",487
"Waitemata","2022-04-15",478
"Waitemata","2022-04-14",657
"Waitemata","2022-04-13",742
"Waitemata","2022-04-12",723
"Waitemata","2022-04-11",819
"Waitemata","2022-04-10",578
"Waitemata","2022-04-09",486
"Waitemata","2022-04-08",560
"Waitemata","2022-04-07",750
"Waitemata","2022-04-06",840
"Waitemata","2022-04-05",855
"Waitemata","2022-04-04",925
"Waitemata","2022-04-03",735
"Waitemata","2022-04-02",610
"Waitemata","2022-04-01",799
"Waitemata","2022-03-31",969
"Waitemata","2022-03-30",1057
"Waitemata","2022-03-29",1048
"Waitemata","2022-03-28",1136
"Waitemata","2022-03-27",889
"Waitemata","2022-03-26",787
"Waitemata","2022-03-25",1045
"Waitemata","2022-03-24",1098
"Waitemata","2022-03-23",1294
"Waitemata","2022-03-22",1547
"Waitemata","2022-03-21",1604
"Waitemata","2022-03-20",1178
"Waitemata","2022-03-19",1017
"Waitemata","2022-03-18",1264
"Waitemata","2022-03-17",1502
"Waitemata","2022-03-16",1650
"Waitemata","2022-03-15",1810
"Waitemata","2022-03-14",1987
"Waitemata","2022-03-13",1578
"Waitemata","2022-03-12",1516
"Waitemata","2022-03-11",1945
"Waitemata","2022-03-10",2242
"Waitemata","2022-03-09",2339
"Waitemata","2022-03-08",2603
"Waitemata","2022-03-07",2827
"Waitemata","2022-03-06",2262
"Waitemata","2022-03-05",2078
"Waitemata","2022-03-04",2648
"Waitemata","2022-03-03",3309
"Waitemata","2022-03-02",3361
"Waitemata","2022-03-01",3390
"Waitemata","2022-02-28",3255
"Waitemata","2022-02-27",2410
"Waitemata","2022-02-26",1989
"Waitemata","2022-02-25",4613
"Waitemata","2022-02-24",668
"Waitemata","2022-02-23",454
"Waitemata","2022-02-22",433
"Waitemata","2022-02-21",433
"Waitemata","2022-02-20",255
"Waitemata","2022-02-19",256
"Waitemata","2022-02-18",221
"Waitemata","2022-02-17",218
"Waitemata","2022-02-16",196
"Waitemata","2022-02-15",100
"Waitemata","2022-02-14",121
"Waitemata","2022-02-13",48
"Waitemata","2022-02-12",66
"Waitemata","2022-02-11",74
"Waitemata","2022-02-10",46
"Waitemata","2022-02-09",28
"Waitemata","2022-02-08",12
"Waitemata","2022-02-07",17
"Waitemata","2022-02-06",27
"Waitemata","2022-02-05",16
"Waitemata","2022-02-04",20
"Waitemata","2022-02-03",19
"Waitemata","2022-02-02",10
"Waitemata","2022-02-01",10
"Waitemata","2022-01-31",10
"Waitemata","2022-01-30",5
"Waitemata","2022-01-29",18
"Waitemata","2022-01-28",16
"Waitemata","2022-01-27",11
"Waitemata","2022-01-26",10
"Waitemata","2022-01-25",0
"Waitemata","2022-01-24",6
"Waitemata","2022-01-23",6
"Waitemata","2022-01-22",2
"Waitemata","2022-01-21",5
"Waitemata","2022-01-20",3
"Waitemata","2022-01-19",7
"Waitemata","2022-01-18",5
"Waitemata","2022-01-17",2
"Waitemata","2022-01-16",2
"Waitemata","2022-01-15",8
"Waitemata","2022-01-14",6
"Waitemata","2022-01-13",4
"Waitemata","2022-01-12",6
"Waitemata","2022-01-11",2
"Waitemata","2022-01-10",1
"Waitemata","2022-01-09",4
"Waitemata","2022-01-08",4
"Waitemata","2022-01-07",5
"Waitemata","2022-01-06",4
"Waitemata","2022-01-05",4
"Waitemata","2022-01-04",2
"Waitemata","2022-01-03",7
"Waitemata","2022-01-02",0
"Waitemata","2022-01-01",5
"Waitemata","2021-12-31",4
"Waitemata","2021-12-30",3
"Waitemata","2021-12-29",2
"Waitemata","2021-12-28",5
"Waitemata","2021-12-27",4
"Waitemata","2021-12-26",0
"Waitemata","2021-12-25",4
"Waitemata","2021-12-24",10
"Waitemata","2021-12-23",2
"Waitemata","2021-12-22",7
"Waitemata","2021-12-21",3
"Waitemata","2021-12-20",3
"Waitemata","2021-12-19",6
"Waitemata","2021-12-18",3
"Waitemata","2021-12-17",1
"Waitemata","2021-12-16",7
"Waitemata","2021-12-15",11
"Waitemata","2021-12-14",10
"Waitemata","2021-12-13",6
"Waitemata","2021-12-12",13
"Waitemata","2021-12-11",17
"Waitemata","2021-12-10",14
"Waitemata","2021-12-09",9
"Waitemata","2021-12-08",21
"Waitemata","2021-12-07",23
"Waitemata","2021-12-06",10
"Waitemata","2021-12-05",13
"Waitemata","2021-12-04",22
"Waitemata","2021-12-03",10
"Waitemata","2021-12-02",22
"Waitemata","2021-12-01",17
"Waitemata","2021-11-30",21
"Waitemata","2021-11-29",28
"Waitemata","2021-11-28",32
"Waitemata","2021-11-27",22
"Waitemata","2021-11-26",37
"Waitemata","2021-11-25",42
"Waitemata","2021-11-24",20
"Waitemata","2021-11-23",37
"Waitemata","2021-11-22",30
"Waitemata","2021-11-21",26
"Waitemata","2021-11-20",36
"Waitemata","2021-11-19",42
"Waitemata","2021-11-18",26
"Waitemata","2021-11-17",36
"Waitemata","2021-11-16",38
"Waitemata","2021-11-15",26
"Waitemata","2021-11-14",58
"Waitemata","2021-11-13",38
"Waitemata","2021-11-12",40
"Waitemata","2021-11-11",53
"Waitemata","2021-11-10",74
"Waitemata","2021-11-09",39
"Waitemata","2021-11-08",50
"Waitemata","2021-11-07",46
"Waitemata","2021-11-06",62
"Waitemata","2021-11-05",54
"Waitemata","2021-11-04",71
"Waitemata","2021-11-03",66
"Waitemata","2021-11-02",43
"Waitemata","2021-11-01",29
"Waitemata","2021-10-31",56
"Waitemata","2021-10-30",57
"Waitemata","2021-10-29",42
"Waitemata","2021-10-28",54
"Waitemata","2021-10-27",42
"Waitemata","2021-10-26",41
"Waitemata","2021-10-25",24
"Waitemata","2021-10-24",42
"Waitemata","2021-10-23",31
"Waitemata","2021-10-22",37
"Waitemata","2021-10-21",38
"Waitemata","2021-10-20",37
"Waitemata","2021-10-19",38
"Waitemata","2021-10-18",45
"Waitemata","2021-10-17",41
"Waitemata","2021-10-16",17
"Waitemata","2021-10-15",15
"Waitemata","2021-10-14",26
"Waitemata","2021-10-13",46
"Waitemata","2021-10-12",20
"Waitemata","2021-10-11",11
"Waitemata","2021-10-10",13
"Waitemata","2021-10-09",10
"Waitemata","2021-10-08",12
"Waitemata","2021-10-07",12
"Waitemata","2021-10-06",10
"Waitemata","2021-10-05",10
"Waitemata","2021-10-04",7
"Waitemata","2021-10-03",7
"Waitemata","2021-10-02",5
"Waitemata","2021-10-01",3
"Waitemata","2021-09-30",3
"Waitemata","2021-09-29",0
"Waitemata","2021-09-28",6
"Waitemata","2021-09-27",1
"Waitemata","2021-09-26",0
"Waitemata","2021-09-25",7
"Waitemata","2021-09-24",2
"Waitemata","2021-09-23",0
"Waitemata","2021-09-22",0
"Waitemata","2021-09-21",2
"Waitemata","2021-09-20",1
"Waitemata","2021-09-19",0
"Waitemata","2021-09-18",0
"Waitemata","2021-09-17",1
"Waitemata","2021-09-16",0
"Waitemata","2021-09-15",1
"Waitemata","2021-09-14",0
"Waitemata","2021-09-13",2
"Waitemata","2021-09-12",3
"Waitemata","2021-09-11",0
"Waitemata","2021-09-10",1
"Waitemata","2021-09-09",0
"Waitemata","2021-09-08",8
"Waitemata","2021-09-07",3
"Waitemata","2021-09-06",4
"Waitemata","2021-09-05",2
"Waitemata","2021-09-04",5
"Waitemata","2021-09-03",10
"Waitemata","2021-09-02",2
"Waitemata","2021-09-01",4
"Waitemata","2021-08-31",20
"Waitemata","2021-08-30",14
"Waitemata","2021-08-29",17
"Waitemata","2021-08-28",14
"Waitemata","2021-08-27",13
"Waitemata","2021-08-26",14
"Waitemata","2021-08-25",5
"Waitemata","2021-08-24",22
"Waitemata","2021-08-23",7
"Waitemata","2021-08-22",11
"Waitemata","2021-08-21",5
"Waitemata","2021-08-20",4
"Waitemata","2021-08-19",9
"Waitemata","2021-08-18",3
"Waitemata","2021-08-17",5
"Waitemata","2021-08-16",0
"Waitemata","2021-08-15",0
"Waitemata","2021-08-14",0
"Waitemata","2021-08-13",0
"Waitemata","2021-08-12",0
"Waitemata","2021-08-11",0
"Waitemata","2021-08-10",0
"Waitemata","2021-08-09",0
"Waitemata","2021-08-08",0
"Waitemata","2021-08-07",0
"Waitemata","2021-08-06",0
"Waitemata","2021-08-05",0
"Waitemata","2021-08-04",0
"Waitemata","2021-08-03",0
"Waitemata","2021-08-02",0
"Waitemata","2021-08-01",0
"Waitemata","2021-07-31",0
"Waitemata","2021-07-30",0
"Waitemata","2021-07-29",0
"Waitemata","2021-07-28",0
"Waitemata","2021-07-27",0
"Waitemata","2021-07-26",0
"Waitemata","2021-07-25",0
"Waitemata","2021-07-24",0
"Waitemata","2021-07-23",0
"Waitemata","2021-07-22",0
"Waitemata","2021-07-21",0
"Waitemata","2021-07-20",0
"Waitemata","2021-07-19",0
"Waitemata","2021-07-18",0
"Waitemata","2021-07-17",0
"Waitemata","2021-07-16",0
"Waitemata","2021-07-15",0
"Waitemata","2021-07-14",0
"Waitemata","2021-07-13",0
"Waitemata","2021-07-12",0
"Waitemata","2021-07-11",0
"Waitemata","2021-07-10",0
"Waitemata","2021-07-09",0
"Waitemata","2021-07-08",0
"Waitemata","2021-07-07",0
"Waitemata","2021-07-06",0
"Waitemata","2021-07-05",0
"Waitemata","2021-07-04",0
"Waitemata","2021-07-03",0
"Waitemata","2021-07-02",0
"Waitemata","2021-07-01",0
"Waitemata","2021-06-30",0
"Waitemata","2021-06-29",0
"Waitemata","2021-06-28",0
"Waitemata","2021-06-27",0
"Waitemata","2021-06-26",0
"Waitemata","2021-06-25",0
"Waitemata","2021-06-24",0
"Waitemata","2021-06-23",0
"Waitemata","2021-06-22",0
"Waitemata","2021-06-21",0
"Waitemata","2021-06-20",0
"Waitemata","2021-06-19",0
"Waitemata","2021-06-18",0
"Waitemata","2021-06-17",0
"Waitemata","2021-06-16",0
"Waitemata","2021-06-15",0
"Waitemata","2021-06-14",0
"Waitemata","2021-06-13",0
"Waitemata","2021-06-12",0
"Waitemata","2021-06-11",0
"Waitemata","2021-06-10",0
"Waitemata","2021-06-09",0
"Waitemata","2021-06-08",0
"Waitemata","2021-06-07",0
"Waitemata","2021-06-06",0
"Waitemata","2021-06-05",0
"Waitemata","2021-06-04",0
"Waitemata","2021-06-03",0
"Waitemata","2021-06-02",0
"Waitemata","2021-06-01",0
"Waitemata","2021-05-31",0
"Waitemata","2021-05-30",0
"Waitemata","2021-05-29",0
"Waitemata","2021-05-28",0
"Waitemata","2021-05-27",0
"Waitemata","2021-05-26",0
"Waitemata","2021-05-25",0
"Waitemata","2021-05-24",0
"Waitemata","2021-05-23",0
"Waitemata","2021-05-22",0
"Waitemata","2021-05-21",0
"Waitemata","2021-05-20",0
"Waitemata","2021-05-19",0
"Waitemata","2021-05-18",0
"Waitemata","2021-05-17",0
"Waitemata","2021-05-16",0
"Waitemata","2021-05-15",0
"Waitemata","2021-05-14",0
"Waitemata","2021-05-13",0
"Waitemata","2021-05-12",0
"Waitemata","2021-05-11",0
"Waitemata","2021-05-10",0
"Waitemata","2021-05-09",0
"Waitemata","2021-05-08",0
"Waitemata","2021-05-07",0
"Waitemata","2021-05-06",0
"Waitemata","2021-05-05",0
"Waitemata","2021-05-04",0
"Waitemata","2021-05-03",0
"Waitemata","2021-05-02",0
"Waitemata","2021-05-01",0
"Waitemata","2021-04-30",0
"Waitemata","2021-04-29",0
"Waitemata","2021-04-28",0
"Waitemata","2021-04-27",0
"Waitemata","2021-04-26",0
"Waitemata","2021-04-25",0
"Waitemata","2021-04-24",0
"Waitemata","2021-04-23",0
"Waitemata","2021-04-22",0
"Waitemata","2021-04-21",0
"Waitemata","2021-04-20",0
"Waitemata","2021-04-19",0
"Waitemata","2021-04-18",0
"Waitemata","2021-04-17",0
"Waitemata","2021-04-16",0
"Waitemata","2021-04-15",0
"Waitemata","2021-04-14",0
"Waitemata","2021-04-13",0
"Waitemata","2021-04-12",0
"Waitemata","2021-04-11",0
"Waitemata","2021-04-10",0
"Waitemata","2021-04-09",0
"Waitemata","2021-04-08",0
"Waitemata","2021-04-07",0
"Waitemata","2021-04-06",0
"Waitemata","2021-04-05",0
"Waitemata","2021-04-04",0
"Waitemata","2021-04-03",0
"Waitemata","2021-04-02",0
"Waitemata","2021-04-01",0
"Waitemata","2021-03-31",0
"Waitemata","2021-03-30",0
"Waitemata","2021-03-29",0
"Waitemata","2021-03-28",0
"Waitemata","2021-03-27",0
"Waitemata","2021-03-26",0
"Waitemata","2021-03-25",0
"Waitemata","2021-03-24",0
"Waitemata","2021-03-23",0
"Waitemata","2021-03-22",0
"Waitemata","2021-03-21",0
"Waitemata","2021-03-20",0
"Waitemata","2021-03-19",0
"Waitemata","2021-03-18",0
"Waitemata","2021-03-17",0
"Waitemata","2021-03-16",0
"Waitemata","2021-03-15",0
"Waitemata","2021-03-14",0
"Waitemata","2021-03-13",0
"Waitemata","2021-03-12",0
"Waitemata","2021-03-11",0
"Waitemata","2021-03-10",0
"Waitemata","2021-03-09",0
"Waitemata","2021-03-08",0
"Waitemata","2021-03-07",0
"Waitemata","2021-03-06",0
"Waitemata","2021-03-05",0
"Waitemata","2021-03-04",0
"Waitemata","2021-03-03",0
"Waitemata","2021-03-02",0
"Waitemata","2021-03-01",0
"Waitemata","2021-02-28",0
"Waitemata","2021-02-27",0
"Waitemata","2021-02-26",0
"Waitemata","2021-02-25",0
"Waitemata","2021-02-24",0
"Waitemata","2021-02-23",0
"Waitemata","2021-02-22",0
"Waitemata","2021-02-21",0
"Waitemata","2021-02-20",0
"Waitemata","2021-02-19",0
"Waitemata","2021-02-18",0
"Waitemata","2021-02-17",0
"Waitemata","2021-02-16",0
"Waitemata","2021-02-15",0
"Waitemata","2021-02-14",0
"Waitemata","2021-02-13",0
"Waitemata","2021-02-12",0
"Waitemata","2021-02-11",0
"Waitemata","2021-02-10",0
"Waitemata","2021-02-09",0
"Waitemata","2021-02-08",0
"Waitemata","2021-02-07",0
"Waitemata","2021-02-06",0
"Waitemata","2021-02-05",0
"Waitemata","2021-02-04",1
"Waitemata","2021-02-03",0
"Waitemata","2021-02-02",0
"Waitemata","2021-02-01",0
"Waitemata","2021-01-31",0
"Waitemata","2021-01-30",0
"Waitemata","2021-01-29",0
"Waitemata","2021-01-28",0
"Waitemata","2021-01-27",2
"Waitemata","2021-01-26",0
"Waitemata","2021-01-25",0
"Waitemata","2021-01-24",0
"Waitemata","2021-01-23",0
"Waitemata","2021-01-22",0
"Waitemata","2021-01-21",0
"Waitemata","2021-01-20",0
"Waitemata","2021-01-19",0
"Waitemata","2021-01-18",0
"Waitemata","2021-01-17",0
"Waitemata","2021-01-16",0
"Waitemata","2021-01-15",0
"Waitemata","2021-01-14",0
"Waitemata","2021-01-13",0
"Waitemata","2021-01-12",0
"Waitemata","2021-01-11",0
"Waitemata","2021-01-10",0
"Waitemata","2021-01-09",0
"Waitemata","2021-01-08",0
"Waitemata","2021-01-07",0
"Waitemata","2021-01-06",0
"Waitemata","2021-01-05",0
"Waitemata","2021-01-04",0
"Waitemata","2021-01-03",0
"Waitemata","2021-01-02",0
"Waitemata","2021-01-01",0
